Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Depth_4;Depth_5;Depth_6
kaiseki restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;kaiseki restaurant;
art museum;3;arts and entertainment;museum;art museum;;;
rental car location;3;travel and transportation;transport hub;rental car location;;;
shabu-shabu restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;shabu-shabu restaurant;
peking duck restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;peking duck restaurant;
loans agency;3;business and professional services;financial service;loans agency;;;
pilavcı;4;dining and drinking;restaurant;turkish restaurant;pilavcı;;
sewer contractor;3;business and professional services;home improvement service;sewer contractor;;;
pet café;3;dining and drinking;cafe, coffee, and tea house;pet café;;;
belgian restaurant;3;dining and drinking;restaurant;belgian restaurant;;;
cosmetics store;2;retail;cosmetics store;;;;
automotive service;2;business and professional services;automotive service;;;;
pier;2;travel and transportation;pier;;;;
food truck;2;dining and drinking;food truck;;;;
toll plaza;2;travel and transportation;toll plaza;;;;
family medicine doctor;3;health and medicine;physician;family medicine doctor;;;
cemetery;2;community and government;cemetery;;;;
tunnel;2;landmarks and outdoors;tunnel;;;;
college and university;3;community and government;education;college and university;;;
golf store;3;retail;sporting goods retail;golf store;;;
environmental organization;3;community and government;organization;environmental organization;;;
hookah bar;3;dining and drinking;bar;hookah bar;;;
mental health service;2;health and medicine;mental health service;;;;
pest control service;3;business and professional services;home improvement service;pest control service;;;
mauritian restaurant;4;dining and drinking;restaurant;african restaurant;mauritian restaurant;;
dance hall;2;arts and entertainment;dance hall;;;;
playground;3;landmarks and outdoors;park;playground;;;
kosher restaurant;4;dining and drinking;restaurant;jewish restaurant;kosher restaurant;;
agriculture and forestry service;2;business and professional services;agriculture and forestry service;;;;
chemicals and gasses manufacturer;2;business and professional services;chemicals and gasses manufacturer;;;;
financial service;2;business and professional services;financial service;;;;
notary;3;business and professional services;legal service;notary;;;
prison;2;community and government;prison;;;;
tennis stadium;3;arts and entertainment;stadium;tennis stadium;;;
lighting store;3;retail;furniture and home store;lighting store;;;
rescue service;4;community and government;government building;law enforcement and public safety;rescue service;;
residential building;2;community and government;residential building;;;;
