Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
cable car;2;aerialway;cable car;;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;way
gondola;2;aerialway;gondola;;An aerialway where the cabins go around in a circle.;way
mixed lift;2;aerialway;mixed lift;;A mixed lift, containing both gondolas and chairs.;way
chair lift;2;aerialway;chair lift;;An open chairlift run. These have one or more seats or benches and are open to the outside air.;way
drag lift;2;aerialway;drag lift;;An overhead tow-line for skiers and riders.;way
t-bar;2;aerialway;t-bar;;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;way
j-bar;2;aerialway;j-bar;;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;way
platter;2;aerialway;platter;;An overhead tow-line for skiers and riders with platters.;way
rope tow;2;aerialway;rope tow;;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;way
magic carpet;2;aerialway;magic carpet;;A ski lift for small children resembling a conveyor belt.;way
zip line;2;aerialway;zip line;;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;way
goods;2;aerialway;goods;;A cable supported lift for conveying goods, not passengers.;way
pylon;2;aerialway;pylon;;A pylon supporting the aerialway cable.;node
station;2;aerialway;station;;A station where passengers and/or goods can enter and/or leave the aerialway;node / area
aerodrome;2;aeroway;aerodrome;;An aerodrome, airport or airfield;node / area
aircraft crossing;2;aeroway;aircraft crossing;;A point where the flow of traffic is impacted by crossing aircraft.;node
apron;2;aeroway;apron;;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;area
gate;2;aeroway;gate;;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;node
hangar;2;aeroway;hangar;;A large airport building with extensive floor area for housing aircraft or spacecraft.;area
helipad;2;aeroway;helipad;;A landing area or platform designed for helicopters;node / area
heliport;2;aeroway;heliport;;A special aerodrome built for helicopters.;node / area
navigationaid;2;aeroway;navigationaid;;A facility that supports visual navigation for aircraft;node
runway;2;aeroway;runway;;A strip of land on which aircraft can take off and land.;way
spaceport;2;aeroway;spaceport;;A spaceport or cosmodrome: a site for launching or receiving spacecraft;node / area
taxiway;2;aeroway;taxiway;;A route where airplanes manouevre between runways and parking areas within an aerodrome;way
terminal;2;aeroway;terminal;;An airport passenger building;node / area
windsock;2;aeroway;windsock;;An object that shows wind direction and speed.;node
bar;3;amenity;sustenance;bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";node / area
biergarten;3;amenity;sustenance;biergarten;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";node / area
cafe;3;amenity;sustenance;cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";node / area
fast food;3;amenity;sustenance;fast food;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;node / area
food court;3;amenity;sustenance;food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;node / area
ice cream;3;amenity;sustenance;ice cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;node / area
pub;3;amenity;sustenance;pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";node / area
restaurant;3;amenity;sustenance;restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;node / area
college;3;amenity;education;college;Campus or buildings of an institute of Further Education (aka continuing education);node / area
dancing school;3;amenity;education;dancing school;A dancing school or dance studio;node / area
driving school;3;amenity;education;driving school;Driving School which offers motor vehicle driving lessons;node / area
first aid school;3;amenity;education;first aid school;A place where people can go for first aid courses.;node / area
kindergarten;3;amenity;education;kindergarten;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;node / area
language school;3;amenity;education;language school;Language School: an educational institution where one studies a foreign language.;node / area
library;3;amenity;education;library;A public library (municipal, university, …) to borrow books from.;node / area
surf school;3;amenity;education;surf school;A surf school is an establishment that teaches surfing.;node / area
toy library;3;amenity;education;toy library;A place to borrow games and toys, or play with them on site.;node / area
research institute;3;amenity;education;research institute;An establishment endowed for doing research.;node / area
training;3;amenity;education;training;Public place where you can get training.;node / area
music school;3;amenity;education;music school;A music school, an educational institution specialized in the study, training, and research of music.;node / area
school;3;amenity;education;school;School and grounds - primary, middle and secondary schools;node / area
