Key_category,Key_subcategory,Key,Value,Description,Element
aerialway,aerialway,aerialway,cable_car,"A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.",way
aerialway,aerialway,aerialway,gondola,An aerialway where the cabins go around in a circle.,way
aerialway,aerialway,aerialway,mixed_lift,"A mixed lift, containing both gondolas and chairs.",way
aerialway,aerialway,aerialway,chair_lift,An open chairlift run. These have one or more seats or benches and are open to the outside air.,way
aerialway,aerialway,aerialway,drag_lift,An overhead tow-line for skiers and riders.,way
aerialway,aerialway,aerialway,t-bar,An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.,way
aerialway,aerialway,aerialway,j-bar,J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.,way
aerialway,aerialway,aerialway,platter,An overhead tow-line for skiers and riders with platters.,way
aerialway,aerialway,aerialway,rope_tow,A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.,way
aerialway,aerialway,aerialway,magic_carpet,A ski lift for small children resembling a conveyor belt.,way
aerialway,aerialway,aerialway,zip_line,"Zip line, gravity propelled aerial ropeslide like a flying fox or similar",way
aerialway,aerialway,aerialway,goods,"A cable supported lift for conveying goods, not passengers.",way
aerialway,aerialway,aerialway,pylon,A pylon supporting the aerialway cable.,node
aerialway,aerialway,aerialway,station,A station where passengers and/or goods can enter and/or leave the aerialway,node / area
aeroway,aeroway,aeroway,aerodrome,"An aerodrome, airport or airfield",node / area
aeroway,aeroway,aeroway,aircraft_crossing,A point where the flow of traffic is impacted by crossing aircraft.,node
aeroway,aeroway,aeroway,apron,"An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.",area
aeroway,aeroway,aeroway,gate,"The bounded space, inside the airport terminal, where passengers wait before boarding their flight",node
aeroway,aeroway,aeroway,hangar,A large airport building with extensive floor area for housing aircraft or spacecraft.,area
aeroway,aeroway,aeroway,helipad,A landing area or platform designed for helicopters,node / area
aeroway,aeroway,aeroway,heliport,A special aerodrome built for helicopters.,node / area
aeroway,aeroway,aeroway,navigationaid,A facility that supports visual navigation for aircraft,node
aeroway,aeroway,aeroway,runway,A strip of land on which aircraft can take off and land.,way
aeroway,aeroway,aeroway,spaceport,A spaceport or cosmodrome: a site for launching or receiving spacecraft,node / area
aeroway,aeroway,aeroway,taxiway,A route where airplanes manouevre between runways and parking areas within an aerodrome,way
aeroway,aeroway,aeroway,terminal,An airport passenger building,node / area
aeroway,aeroway,aeroway,windsock,An object that shows wind direction and speed.,node
amenity,sustenance,amenity,bar,"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.",node / area
amenity,sustenance,amenity,biergarten,"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.",node / area
amenity,sustenance,amenity,cafe,"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.",node / area
amenity,sustenance,amenity,fast_food,Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.,node / area
amenity,sustenance,amenity,food_court,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.",node / area
amenity,sustenance,amenity,ice_cream,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter,node / area
amenity,sustenance,amenity,pub,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub,node / area
amenity,sustenance,amenity,restaurant,"Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.",node / area
amenity,education,amenity,college,Campus or buildings of an institute of Further Education (aka continuing education),node / area
amenity,education,amenity,dancing_school,A dancing school or dance studio,node / area
amenity,education,amenity,driving_school,Driving School which offers motor vehicle driving lessons,node / area
amenity,education,amenity,first_aid_school,A place where people can go for first aid courses.,node / area
amenity,education,amenity,kindergarten,"For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.",node / area
amenity,education,amenity,language_school,Language School: an educational institution where one studies a foreign language.,node / area
amenity,education,amenity,library,"A public library (municipal, university, …) to borrow books from.",node / area
amenity,education,amenity,surf_school,A surf school is an establishment that teaches surfing.,node / area
amenity,education,amenity,toy_library,"A place to borrow games and toys, or play with them on site.",node / area
amenity,education,amenity,research_institute,An establishment endowed for doing research.,node / area
amenity,education,amenity,training,Public place where you can get training.,node / area
amenity,education,amenity,music_school,"A music school, an educational institution specialized in the study, training, and research of music.",node / area
amenity,education,amenity,school,"School and grounds - primary, middle and secondary schools",node / area
amenity,education,amenity,traffic_park,Juvenile traffic schools,node / area
amenity,education,amenity,university,A university campus: an institute of higher education,node / area
amenity,transportation,amenity,bicycle_parking,Parking for bicycles,node / area
amenity,transportation,amenity,bicycle_repair_station,"General tools for self-service bicycle repairs, usually on the roadside; no service",node / area
amenity,transportation,amenity,bicycle_rental,Rent a bicycle,node / area
amenity,transportation,amenity,bicycle_wash,Clean a bicycle,node / area
amenity,transportation,amenity,boat_rental,Rent a Boat,node / area
amenity,transportation,amenity,boat_sharing,Share a Boat,node / area
amenity,transportation,amenity,bus_station,May also be tagged as public_transport=station.,node / area
amenity,transportation,amenity,car_rental,Rent a car,node / area
amenity,transportation,amenity,car_sharing,Share a car,node / area
amenity,transportation,amenity,car_wash,Wash a car,node / area
amenity,transportation,amenity,compressed_air,"A device to inflate tires/tyres (e.g. motorcar, bicycle)",node / area
amenity,transportation,amenity,vehicle_inspection,Government vehicle inspection,node / area
amenity,transportation,amenity,charging_station,Charging facility for electric vehicles,node
amenity,transportation,amenity,driver_training,A place for driving training on a closed course,node / area
